500V,,550V,,600V,,650V,,700V,,750V,,800V,,775V,,725V,,790V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
558.9699707,10.21701145,558.9699707,25.69310379,558.9699707,59.34931564,558.9699707,118.803894,558.9699707,242.2260742,558.9699707,459.9643555,558.9699707,840.8679199,558.9699707,616.3289795,558.9699707,327.418396,558.9699707,708.9627075,
559.8499756,9.871939659,559.8499756,24.84826851,559.8499756,57.16016769,559.8499756,117.5859833,559.8499756,236.7684784,559.8499756,450.7453308,559.8499756,825.2008057,559.8499756,594.7972412,559.8499756,319.2866821,559.8499756,690.3339844,
560.8900146,9.597940445,560.8900146,24.3274231,560.8900146,56.23155212,560.8900146,113.7872772,560.8900146,227.9047394,560.8900146,436.2772217,560.8900146,796.7432861,560.8900146,580.3052979,560.8900146,308.6565247,560.8900146,667.3045044,
561.9400024,9.483730316,561.9400024,23.65354729,561.9400024,54.89323425,561.9400024,110.7462921,561.9400024,223.0188599,561.9400024,423.1120605,561.9400024,779.593689,561.9400024,564.8775024,561.9400024,303.0584412,561.9400024,652.4378052,
562.8300171,9.091711998,562.8300171,22.97281075,562.8300171,52.86561203,562.8300171,106.9531403,562.8300171,214.1262665,562.8300171,413.4378967,562.8300171,750.3936768,562.8300171,549.4267578,562.8300171,297.0870056,562.8300171,633.8807373,
563.8800049,8.785665512,563.8800049,22.09606743,563.8800049,51.04647446,563.8800049,103.431778,563.8800049,209.8410339,563.8800049,397.2306519,563.8800049,721.3131714,563.8800049,527.7433472,563.8800049,282.0466309,563.8800049,608.9163208,
564.9199829,8.498617172,564.9199829,21.38628006,564.9199829,49.02534103,564.9199829,100.7364044,564.9199829,200.6464539,564.9199829,385.56604,564.9199829,705.4267578,564.9199829,511.8109436,564.9199829,274.9147034,564.9199829,587.9817505,
565.9699707,8.113054276,565.9699707,20.48338127,565.9699707,47.41065216,565.9699707,96.47653961,565.9699707,195.1417847,565.9699707,367.6551514,565.9699707,664.3754883,565.9699707,489.6589355,565.9699707,260.7617188,565.9699707,567.7059937,
566.8599854,7.825989246,566.8599854,19.80307388,566.8599854,46.03569794,566.8599854,92.31287384,566.8599854,185.7121582,566.8599854,358.696167,566.8599854,649.3307495,566.8599854,470.9020386,566.8599854,251.2556305,566.8599854,546.1835938,
567.9099731,7.625087261,567.9099731,19.16704559,567.9099731,44.04875565,567.9099731,89.56415558,567.9099731,179.336792,567.9099731,344.7766113,567.9099731,632.4837646,567.9099731,453.2400513,567.9099731,243.616806,567.9099731,516.3538208,
568.9500122,7.271324158,568.9500122,18.46483612,568.9500122,42.240242,568.9500122,86.14015198,568.9500122,173.6140442,568.9500122,329.6206665,568.9500122,600.5975952,568.9500122,437.08078,568.9500122,237.2750854,568.9500122,505.2114258,
569.8499756,7.026508808,569.8499756,17.89903641,569.8499756,40.78406143,569.8499756,80.82159424,569.8499756,166.8335419,569.8499756,320.2107849,569.8499756,581.6022949,569.8499756,421.3832703,569.8499756,222.7733154,569.8499756,484.9220886,
570.8800049,6.753706455,570.8800049,17.00250053,570.8800049,38.75762177,570.8800049,78.90037537,570.8800049,158.6443024,570.8800049,302.8947754,570.8800049,554.0241089,570.8800049,409.0293274,570.8800049,215.8978882,570.8800049,464.8032227,
571.9099731,6.416623116,571.9099731,16.37799263,571.9099731,37.4338913,571.9099731,74.60427094,571.9099731,154.6356049,571.9099731,291.0456543,571.9099731,529.0703735,571.9099731,388.6037598,571.9099731,208.8176575,571.9099731,447.3709412,
572.9400024,6.217787743,572.9400024,15.68910885,572.9400024,36.01903152,572.9400024,71.84631348,572.9400024,147.7921906,572.9400024,281.6889343,572.9400024,511.5476379,572.9400024,370.7879944,572.9400024,199.2592926,572.9400024,428.176178,
573.9699707,5.90606308,573.9699707,14.79683495,573.9699707,34.93154144,573.9699707,69.71682739,573.9699707,139.6127167,573.9699707,268.0657654,573.9699707,489.5230408,573.9699707,358.6558228,573.9699707,191.360199,573.9699707,405.3399353,
574.8499756,5.767329693,574.8499756,14.32849503,574.8499756,33.07255173,574.8499756,66.73188019,574.8499756,135.036499,574.8499756,261.2861938,574.8499756,470.2007141,574.8499756,341.4467163,574.8499756,185.1975403,574.8499756,394.3516235,
575.8800049,5.415509224,575.8800049,13.89857864,575.8800049,31.87674713,575.8800049,65.38339996,575.8800049,131.9084778,575.8800049,244.1985321,575.8800049,450.6335449,575.8800049,327.3995361,575.8800049,175.1436005,575.8800049,374.4048462,
