Normalized Wavelength,Intensity
588.53,0.001463589
589.2493,0.00146453
589.9686,0.001465472
590.6879,0.001466414
591.4073,0.001467356
592.1266,0.001468298
592.8459,0.001469239
593.5652,0.001470181
594.2845,0.001471123
595.0038,0.001472065
595.7231,0.001473007
596.4424,0.001473949
597.1618,0.00147489
597.8811,0.001475832
598.6004,0.001476774
599.3198,0.001477716
600.0391,0.001478658
600.7584,0.001479599
601.4777,0.001480541
602.197,0.001481483
602.9163,0.001482425
603.6356,0.001483367
604.3549,0.001484309
605.0743,0.00148525
605.7936,0.001486192
606.5129,0.001487134
607.2322,0.001488076
607.9515,0.001489018
608.6708,0.001489959
609.3901,0.001490901
610.1094,0.001491843
610.8288,0.001492785
611.5481,0.001493727
612.2674,0.001494669
612.9867,0.00149561
613.7061,0.001496552
614.4254,0.001497494
615.1447,0.001498436
615.864,0.001499378
616.5833,0.00150032
617.3026,0.001501261
618.0219,0.001502203
618.7413,0.001503145
619.4606,0.001504087
620.1799,0.001505029
620.8992,0.00150597
621.6185,0.001506912
622.3378,0.001507854
623.0571,0.001508796
623.7764,0.001509738
624.4958,0.00151068
625.2151,0.001511621
625.9344,0.001512563
626.6537,0.001513505
627.373,0.001514447
628.0923,0.001515389
628.8116,0.001516331
629.5309,0.001517272
630.2503,0.001518214
630.9696,0.001519156
631.6889,0.001520098
632.4082,0.00152104
633.1276,0.001521981
633.8469,0.001522923
634.5662,0.001523865
635.2855,0.001524807
636.0048,0.001525749
636.7241,0.00152669
637.4434,0.001527632
638.1628,0.001528574
638.8821,0.001529516
639.6014,0.001530458
640.3207,0.0015314
641.04,0.001532341
641.7593,0.001533283
642.4786,0.001534225
643.1979,0.001535167
643.9173,0.001536109
644.6366,0.00153705
645.3559,0.001537992
646.0752,0.001538934
646.7946,0.001539876
647.5139,0.001540818
648.2332,0.00154176
648.9525,0.001542702
649.6718,0.001543643
650.3911,0.001544585
651.1104,0.001545527
651.8297,0.001546469
652.5491,0.001547411
653.2684,0.001548352
653.9877,0.001549294
654.707,0.001550236
655.4263,0.001551178
656.1456,0.00155212
656.8649,0.001553062
657.5843,0.001554003
658.3036,0.001554945
659.0229,0.001555887
659.7422,0.001556829
660.4615,0.001557771
661.1808,0.001558712
661.9001,0.001559654
662.6194,0.001560596
663.3388,0.001561538
664.0581,0.00156248
664.7774,0.001563421
665.4974,0.000628194
666.2167,0.0006291358
666.9361,0.0006300776
667.6547,0.001567189
668.374,0.001568131
669.0933,0.001569072
