ecc_500,,ecc_510,,ecc_520,,ecc_490,,ecc_530,,ecc_526,,ecc_480,,ecc_470,,ecc_515,,ecc_460,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
545.9699707,393.154541,555.8800049,633.0603027,565.9699707,666.0366211,535.9699707,149.6323853,575.8800049,497.4173279,571.9099731,601.6003418,526.0599976,27.07399178,515.9699707,3.104620457,561.039978,681.2695923,505.9700012,0.4251434207,
546.8599854,406.1594543,556.9099731,626.2044678,567.0100098,643.5430298,537.0100098,166.8806458,576.9099731,472.9235229,572.9400024,574.8505859,526.960022,31.64294434,517.0100098,3.529498339,561.9400024,667.6300659,507.0100098,0.4349323511,
547.9099731,423.2806396,557.9400024,614.3547363,568.0499878,618.0852051,538.0499878,185.884201,577.9400024,453.9366455,573.8200073,558.6605225,528.0300293,37.22910309,518.0499878,4.231296539,562.9799805,640.5944214,508.0499878,0.4980722368,
548.9500122,435.0644531,558.9699707,603.2878418,568.9500122,601.7712402,538.9500122,205.1510773,578.9699707,438.0123291,574.8499756,532.3294067,528.9299927,42.58980179,518.9500122,4.922149658,564.0200195,626.2283936,508.9500122,0.5949699283,
549.8499756,445.4477844,559.8499756,594.9579468,570,569.0640259,540,224.989975,579.8499756,422.3826294,575.8800049,510.1716919,530,49.90079117,520,5.883568287,565.0700073,604.6964722,510,0.7275784612,
550.8800049,456.7581177,560.8900146,584.046814,571.0200195,551.5678101,541.039978,245.4384766,580.8900146,405.8335266,576.9099731,483.4309692,531.039978,57.43571854,521.0599976,7.09718132,565.9699707,585.9052734,511.0400085,0.8523829579,
551.9099731,461.6950073,561.9400024,561.9238892,572.0499878,528.7954712,541.9400024,263.5476379,581.9400024,390.1027527,577.9400024,472.3078613,531.9400024,64.42646027,521.960022,8.33336544,567.0100098,564.3516846,511.9400024,0.9768007398,
552.9400024,465.7581177,562.8300171,554.7774658,572.9400024,513.0059204,542.9799805,281.0562439,582.8300171,375.4686584,578.8200073,453.4716187,532.9799805,74.2957077,523.0300293,9.773489952,568.0499878,547.6793213,512.9799805,1.217182755,
553.9699707,466.1011658,563.8800049,537.3637085,573.9699707,490.3713074,544.0200195,299.4879761,583.8800049,363.7658081,579.8499756,429.7447815,534.0200195,84.94413757,523.9299927,11.53364372,568.9500122,529.4279785,514.0200195,1.405925989,
554.8499756,465.6130371,564.9199829,517.8921509,575,471.7174988,545.0700073,320.0058899,584.9199829,350.0805664,580.8900146,418.1164551,535.0700073,96.23936462,525,13.30147076,570,504.8265991,515.0700073,1.729768276,
555.8800049,459.6022949,565.9699707,497.912323,576.0200195,451.5760803,545.9699707,332.0460205,585.9699707,339.8419189,581.9400024,404.2922974,535.9699707,106.5832291,526.0599976,15.95142746,571.0200195,484.4042053,515.9699707,2.015375614,
