0,,1,,2,,3,,4,,5,,6,,7,,8,,fondo,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
421.9599915,151.8262177,421.9599915,147.3251953,421.9599915,129.7928467,421.9599915,108.1364212,421.9599915,73.08890533,421.9599915,33.00859833,421.9599915,11.56138229,421.9599915,4.868549347,421.9599915,1.83083117,421.9599915,0.2508780658,
423.0299988,163.9097748,423.0299988,164.0043793,423.0299988,142.6080933,423.0299988,118.4009399,423.0299988,80.36906433,423.0299988,36.70174026,423.0299988,12.87093258,423.0299988,5.327521324,423.0299988,2.210587502,423.0299988,0.6128953099,
423.9299927,179.3809357,423.9299927,178.3200378,423.9299927,154.4665833,423.9299927,128.8685303,423.9299927,86.38807678,423.9299927,38.75305557,423.9299927,12.81431293,423.9299927,5.543656349,423.9299927,1.621308565,423.9299927,-0.2640961409,
425,200.4759827,425,197.8700104,425,173.7032471,425,140.914566,425,94.05458069,425,43.26041794,425,15.59791946,425,6.708250046,425,3.654694319,425,0,
426.0599976,219.3247986,426.0599976,219.091568,426.0599976,188.5392914,426.0599976,159.3881378,426.0599976,104.1851044,426.0599976,46.88448715,426.0599976,15.90937901,426.0599976,7.613292694,426.0599976,2.994012117,426.0599976,0.3749062717,
426.9599915,235.4960632,426.9599915,231.4526367,426.9599915,205.0465851,426.9599915,167.4629517,426.9599915,114.1304398,426.9599915,53.56098557,426.9599915,18.0786953,426.9599915,7.845433235,426.9599915,2.623107195,426.9599915,-0.2525890172,
428.0299988,253.4081879,428.0299988,252.6797638,428.0299988,220.6780853,428.0299988,183.3354187,428.0299988,124.5965881,428.0299988,58.85914993,428.0299988,20.53436089,428.0299988,8.783539772,428.0299988,3.674219131,428.0299988,0.1241619065,
428.9299927,273.5761108,428.9299927,267.7966003,428.9299927,231.6873322,428.9299927,198.3329163,428.9299927,134.3423767,428.9299927,61.89437866,428.9299927,19.57684708,428.9299927,9.976976395,428.9299927,2.272210836,428.9299927,0.7531065345,
430,292.152832,430,292.1604004,430,257.3894653,430,213.9665527,430,139.6579285,430,66.93377686,430,23.61922836,430,9.558823586,430,3.278688431,430,0,
431.0700073,316.3016968,431.0700073,315.5747375,431.0700073,277.9422607,431.0700073,232.9573364,431.0700073,156.0189056,431.0700073,74.26099396,431.0700073,26.16776657,431.0700073,10.18459511,431.0700073,4.384952545,431.0700073,0.3883495331,
