Distance_(pixels),Gray_Value
950,147.3876
951,147.6404
952,147.3316
953,147.5461
954,146.7394
955,147.2280
956,148.1738
957,148.5570
958,148.3225
959,147.9644
960,146.8534
961,146.6492
962,147.0634
963,148.6968
964,149.0839
965,148.3518
966,147.0941
967,146.2816
968,147.7466
969,149.2333
970,149.0163
971,147.8911
972,147.2197
973,147.2456
974,148.1453
975,149.5824
976,150.6593
977,151.6805
978,152.0000
979,151.6534
980,151.1629
981,150.4835
982,151.1382
983,152.4632
984,153.0000
985,153.3934
986,153.6967
987,153.9851
988,154.1962
989,153.6835
990,153.0487
991,153.1779
992,152.2293
993,150.9069
994,151.1335
995,151.4979
996,150.1500
997,149.2344
998,150.0991
999,151.0000
1000,151.0000
1001,152.6899
1002,152.9967
1003,152.0971
1004,152.0000
1005,152.0000
1006,152.0000
1007,152.9248
1008,154.1668
1009,154.3727
1010,153.4220
1011,152.3212
1012,152.0000
1013,152.6228
1014,153.0000
1015,153.0456
1016,153.1292
1017,152.7521
1018,152.3875
1019,152.4547
1020,152.8749
1021,152.8195
1022,152.5675
1023,153.2891
1024,153.6853
1025,152.8880
1026,152.7950
1027,154.2629
1028,155.0328
1029,155.7285
1030,155.7894
1031,154.6088
1032,152.8769
1033,151.8580
1034,153.5502
1035,154.9983
1036,154.9713
1037,154.0698
1038,153.5943
1039,154.2202
1040,155.8241
1041,157.5567
1042,156.8117
1043,156.5635
1044,156.9624
1045,157.0000
1046,155.8239
1047,155.5505
1048,155.4189
1049,154.9880
1050,154.7459
1051,155.6280
1052,157.3375
1053,159.1931
1054,159.3737
1055,158.4145
1056,158.1917
1057,157.8389
1058,157.0655
1059,157.0630
1060,157.2877
1061,156.3608
1062,155.8672
1063,155.0940
1064,156.0504
1065,156.6896
1066,157.3255
1067,157.1429
1068,156.0927
1069,155.1583
1070,156.3409
1071,157.1522
1072,157.3209
1073,157.0019
1074,158.9369
1075,159.9062
1076,159.6292
1077,158.0643
1078,158.7583
1079,159.3584
1080,159.1171
1081,158.4324
1082,158.3390
1083,159.6593
1084,159.5325
1085,158.1216
1086,157.5084
1087,157.4017
1088,156.8982
1089,156.7340
1090,157.6042
1091,158.7711
1092,159.6389
1093,160.1239
1094,160.2154
1095,159.4737
1096,158.0000
1097,158.6598
1098,160.4606
1099,161.3488
1100,159.8693
1101,158.9336
1102,157.9704
1103,158.7857
1104,160.0658
1105,161.8925
1106,162.5948
1107,161.3883
1108,160.1818
1109,159.0665
1110,159.2950
1111,160.4378
1112,160.9691
1113,161.7681
1114,162.4752
1115,162.8831
1116,161.5251
1117,160.2906
1118,161.5648
1119,162.1513
1120,160.1238
1121,159.0000
1122,160.7081
1123,162.0000
1124,161.2860
1125,161.2531
1126,162.5422
1127,163.0000
1128,163.1817
1129,163.3471
1130,162.9266
1131,160.9083
1132,161.3450
1133,161.3344
1134,161.8017
1135,161.1502
1136,160.9250
1137,160.1928
1138,159.2156
1139,160.2897
1140,161.6981
1141,161.5635
